name;party;num_bill
Brooke,Annette;LiberalDemocrat;26
Leech,MrJohn;LiberalDemocrat;104
Caton,Martin;Labour;181
Walley,Joan;Labour;8
McKenzie,Iain;Labour;5
Glindon,MrsMary;Labour;92
Cunningham,SirTony;Labour;11
Leslie,Charlotte;Conservative;6
Hemming,John;LiberalDemocrat;39
Morrice,Graeme;Labour;20
Murphy,Paul;Labour;6
Doran,MrFrank;Labour;2
McCrea,DrWilliam;DemocraticUnionistParty;91
Jenrick,Robert;Conservative;2
Field,MrFrank;Labour;18
Williams,Roger;LiberalDemocrat;15
Francis,DrHywel;Labour;4
James,MrsSiânC.;Labour;3
Hain,MrPeter;Labour;5
Havard,MrDai;Labour;3
Llwyd,MrElfyn;PlaidCymru;112
Sutcliffe,MrGerry;Labour;6
Weir,MrMike;ScottishNationalParty;40
Davidson,MrIan;Labour;16
Riordan,MrsLinda;Labour;38
Gilbert,Stephen;LiberalDemocrat;3
Connarty,Michael;Labour;49
Sanders,MrAdrian;LiberalDemocrat;45
Marsden,MrGordon;Labour;6
Hendry,Charles;Conservative;4
Begg,DameAnne;Labour;12
McGovern,Jim;Labour;30
Wright,David;Labour;5
Ruane,Chris;Labour;21
Benton,MrJoe;Labour;5
Jones,MrDavid;Conservative;1
Jackson,Glenda;Labour;53
Love,MrAndrew;Labour;7
Gilmore,Sheila;Labour;7
Greatrex,Tom;Labour;2
Thornton,MrMike;LiberalDemocrat;14
Crockart,Mike;LiberalDemocrat;14
Lazarowicz,Mark;Labour;8
Horwood,Martin;LiberalDemocrat;11
Drax,Richard;Conservative;3
Stunell,SirAndrew;LiberalDemocrat;24
Luff,SirPeter;Conservative;1
Arbuthnot,MrJames;Conservative;1
Ainsworth,MrBob;Labour;2
Stuart,MsGisela;Labour;2
Campbell,SirMenzies;LiberalDemocrat;3
Hendrick,Mark;Labour;3
Kennedy,MrCharles;LiberalDemocrat;2
Watson,MrTom;Labour;16
Engel,Natascha;Labour;5
Gray,MrJames;Conservative;21
Teather,Sarah;LiberalDemocrat;11
Thomas,MrGareth;Labour;4
Miller,Andrew;Labour;8
Smith,SirRobert;LiberalDemocrat;6
Bruce,SirMalcolm;LiberalDemocrat;4
Burt,Alistair;Conservative;3
Zahawi,Nadhim;Conservative;1
Blunkett,MrDavid;Labour;4
Beith,SirAlan;LiberalDemocrat;4
Khan,Sadiq;Labour;2
Swales,Ian;LiberalDemocrat;13
Amess,MrDavid;Conservative;25
Miller,Maria;Conservative;1
Baldry,SirTony;Conservative;3
Binley,MrBrian;Conservative;5
Collins,Damian;Conservative;1
Long,Naomi;Alliance;28
Bayley,Hugh;Labour;19
Crouch,Tracey;Conservative;17
Griffiths,Andrew;Conservative;3
Jowell,DameTessa;Labour;2
Wood,Mike;Labour;8
O'Donnell,Fiona;Labour;8
Byrne,MrLiam;Labour;1
Balls,Ed;Labour;2
Benyon,Richard;Conservative;3
Thurso,John;LiberalDemocrat;5
Reid,MrAlan;LiberalDemocrat;4
Roy,Lindsay;Labour;7
Weatherley,Mike;Conservative;1
Robertson,John;Labour;10
Shepherd,SirRichard;Conservative;7
Meacher,MrMichael;Labour;4
Burstow,Paul;LiberalDemocrat;5
Joyce,Eric;Independent;4
Fullbrook,Lorraine;Conservative;1
Willott,Jenny;LiberalDemocrat;1
Clarke,MrTom;Labour;5
McIntosh,MissAnne;Conservative;1
Simpson,MrKeith;Conservative;1
White,Chris;Conservative;2
Jones,Andrew;Conservative;1
Sturdy,Julian;Conservative;1
Smith,Julian;Conservative;1
Reevell,Simon;Conservative;1
Stuart,MrGraham;Conservative;1
Stephenson,Andrew;Conservative;6
Norman,Jesse;Conservative;1
Straw,MrJack;Labour;1
Rifkind,SirMalcolm;Conservative;1
Beckett,Margaret;Labour;1
Mudie,MrGeorge;Labour;5
Heyes,David;Labour;2
Birtwistle,Gordon;LiberalDemocrat;4
Rees-Mogg,Jacob;Conservative;1
McGuire,MrsAnne;Labour;2
Morris,James;Conservative;1
Clappison,MrJames;Conservative;1
Ottaway,SirRichard;Conservative;1
Parish,Neil;Conservative;1
Evans,Jonathan;Conservative;3
Harris,MrTom;Labour;4
Raab,MrDominic;Conservative;1
Dobbin,Jim;Labour;122
Clifton-Brown,Geoffrey;Conservative;3
Murphy,MrJim;Labour;1
Roy,MrFrank;Labour;2
Sawford,Andy;Labour;2
Swayne,MrDesmond;Conservative;1
Blears,Hazel;Labour;3
Watts,MrDave;Labour;1
Hodge,Margaret;Labour;1
Skidmore,Chris;Conservative;1
Mills,Nigel;Conservative;2
Blunt,MrCrispin;Conservative;1
Pawsey,Mark;Conservative;1
Reckless,Mark;Conservative;2
Hamilton,MrDavid;Labour;1
Soames,Nicholas;Conservative;1
Woodward,MrShaun;Labour;1
